"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Сон","","09-мар.-2022 11:56","09-мар.-2022 12:49","12:12"
"Подгузники","Грязный","09-мар.-2022 10:16","09-мар.-2022 10:16","запор"
"Кормление","Правая Грудь","09-мар.-2022 10:14","09-мар.-2022 10:15",""
"Кормление","Левая Грудь","09-мар.-2022 10:14","09-мар.-2022 10:15",""
"Досуг","Игры","09-мар.-2022 08:37","09-мар.-2022 08:53",""
"Сон","","09-мар.-2022 08:37","09-мар.-2022 09:53",""
"Кормление","Правая Грудь","09-мар.-2022 07:10","09-мар.-2022 07:10",""
"Сон","","08-мар.-2022 19:21","09-мар.-2022 06:40",""
"Кормление","Бутылочка","08-мар.-2022 17:19","08-мар.-2022 17:19","70мл, смесь, friso"
"Сон","","08-мар.-2022 16:00","08-мар.-2022 16:41",""
"Досуг","Игры","08-мар.-2022 15:53","08-мар.-2022 16:03",""
"Кормление","Еда","08-мар.-2022 14:18","08-мар.-2022 14:18","горох 2 ч ложки, кабачки"
"Досуг","Игры","08-мар.-2022 12:35","08-мар.-2022 13:33",""
"Сон","","08-мар.-2022 11:59","08-мар.-2022 13:40","34 минуты проснулся"
"Досуг","Игры","08-мар.-2022 11:51","08-мар.-2022 12:15",""
"Кормление","Еда","08-мар.-2022 11:48","08-мар.-2022 11:48","тыква и цветная капуста"
"Кормление","Правая Грудь","08-мар.-2022 10:10","08-мар.-2022 10:10",""
"Кормление","Левая Грудь","08-мар.-2022 10:10","08-мар.-2022 10:10",""
"Сон","","08-мар.-2022 08:15","08-мар.-2022 09:49",""
"Досуг","Игры","08-мар.-2022 08:09","08-мар.-2022 08:22",""
"Кормление","Еда","08-мар.-2022 07:20","08-мар.-2022 07:20","яблоко, гречка"
"Кормление","Левая Грудь","08-мар.-2022 06:40","08-мар.-2022 06:55",""
"Сон","","07-мар.-2022 19:17","08-мар.-2022 06:15",""
"Досуг","Игры","07-мар.-2022 18:53","07-мар.-2022 19:34",""
"Кормление","Правая Грудь","07-мар.-2022 16:54","07-мар.-2022 16:54",""
"Кормление","Левая Грудь","07-мар.-2022 16:54","07-мар.-2022 16:54",""
"Сон","","07-мар.-2022 16:05","07-мар.-2022 16:44",""
"Досуг","Игры","07-мар.-2022 15:57","07-мар.-2022 16:14",""
"Кормление","Еда","07-мар.-2022 15:29","07-мар.-2022 15:29",""
"Кормление","Правая Грудь","07-мар.-2022 14:12","07-мар.-2022 14:13",""
"Кормление","Левая Грудь","07-мар.-2022 14:12","07-мар.-2022 14:12",""
"Досуг","Игры","07-мар.-2022 13:28","07-мар.-2022 13:44",""
